MAPID,LATITUDE,LONGITUDE,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFPB0068,49.28173595,-123.0343871,East of basketball courts,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
DFPB0072,49.2456626,-123.106969,,Parks,,,
DFPB0071,49.24454044,-123.1063752,,Parks,,,
DFPB0073,49.2719084,-123.191736,,Parks,,,
DFPB0074,49.253929,-123.061986,nearby beach,Parks,spring to fall,,
DFPB0075,49.264164,-123.107514,E-side of wading pool,Parks,spring to fall,,
DFPB0076,49.263954,-123.045152,SE corner of tennis courts,Parks,spring to fall,,
DFPB0077,49.238138,-123.07429,between baseball diamond and parking lots,Parks,spring to fall,,
DFPB0078,49.233331,-123.1572,2nd N-side entrance,Parks,spring to fall,,
DFPB0080,49.229195,-123.045343,north plaza,Parks,spring to fall,,Killarney Park - drinking fountain 2 - 2005.JPG
DFPB0079,49.227059,-123.041882,in front of wading pool,Parks,spring to fall,,Killarney Park - drinking fountain 1 - 2005.JPG
DFPB0081,49.247325,-123.074579,E-side of washroom,Parks,spring to fall,,Kingcrest Park - drinking fountain - 2005.JPG
DFPB0084,49.276739,-123.151743,besides parking lot,Parks,spring to fall,,
DFPB0083,49.27468145,-123.1532014,besides playground,Parks,spring to fall,,
DFPB0082,49.2743766,-123.1538197,opposite washrooms,Parks,spring to fall,,
DFPB0087,49.2194057,-123.106335,56th and Ontario,Parks,spring to fall,,
DFPB0086,49.2230752,-123.116336,cambie pathway,Parks,spring to fall,,
DFPB0088,49.2237851,-123.112543,clubhouse building ,Parks,spring to fall,,
DFPB0085,49.21816719,-123.1117212,servive yard,Parks,spring to fall,,
DFPB0089,49.274969,-123.207164,near concessions,Parks,spring to fall,,
DFPB0090,49.22997,-123.098511,near NW corner of tennis court,Parks,spring to fall,,
DFPB0091,49.2788422,-123.089442,,Parks,,,
DFPB0092,49.2615753,-123.107009,,Parks,,,
DFPB0094,49.22318,-123.159702,E-side of pool,Parks,spring to fall,,
DFPB0093,49.223507,-123.160831,S-side of baseball diamond,Parks,spring to fall,,
DFPB0095,49.205624,-123.138958,west entrance to playground,Parks,spring to fall,,Marpole Park - drinking fountain - 2005.JPG
DFPB0096,49.267923,-123.180134,S of playground,Parks,spring to fall,,McBride Park - drinking fountain - 2007.JPG
DFPB0097,49.2203778,-123.170895,5th tee,Parks,spring to fall,,
DFPB0098,49.2209551,-123.167863,clubhouse building ,Parks,spring to fall,,
DFPB0099,49.2205907,-123.169628,driving range ,Parks,spring to fall,,
DFPB0100,49.22063286,-123.1707399,servive yard,Parks,spring to fall,,
DFPB0101,49.236424,-123.029107,front of tennis courts,Parks,spring to fall,,Melbourne Park - drinking fountain - 2005.JPG
DFPB0102,49.23152293,-123.0847723,,Parks,,,
DFPB0103,49.23134082,-123.0869223,W-side of wading pool,Parks,year-round,,
DFPB0104,49.243358,-123.187296,S of tennis courts,Parks,spring to fall,,
DFPB0106,49.2153386,-123.0872,,Parks,,,
DFPB0105,49.214828,-123.084599,in front of tennis courts,Parks,spring to fall,,
DFPB0107,49.287429,-123.142264,,Parks,spring to fall,,
DFPB0108,49.273192,-123.074217,near children's play area,Parks,spring to fall,,
DFPB0109,49.256865,-123.106446,S-side of wading pool,Parks,spring to fall,,
DFPB0110,49.228277,-123.05692,in front of wading pool,Parks,spring to fall,,Nanaimo Park - drinking fountain - 2005.JPG
DFPB0111,49.282838,-123.129981,middle of park,Parks,spring to fall,,Nelson Park - drinking fountain - 2006.JPG
DFPB0113,49.289268,-123.036666,S-side of pool,Parks,spring to fall,,New Brighton - drinking fountain 2 - 2007.JPG
DFPB0114,49.289431,-123.038691,SW of playground,Parks,spring to fall,,New Brighton - drinking fountain 1 - 2007.JPG
DFPB0112,49.28959,-123.035531,W-side of tennis courts,Parks,spring to fall,,
DFPB0115,49.238173,-123.050828,front of wading pool,Parks,spring to fall,,
DFPB0117,49.216882,-123.128155,East side of fieldhouse,Parks,spring to fall,,Oak Park - drinking fountain 3 - 2007.JPG
DFPB0118,49.216585,-123.127387,In spray park,Parks,spring to fall,,Oak Park - drinking fountain 1 - 2007.JPG
DFPB0116,49.216607,-123.129122,Near parking lot,Parks,spring to fall,,Oak Park - drinking fountain 2 - 2007.JPG
DFPB0119,49.282901,-123.094057,,Parks,,,
DFPB0120,49.28231322,-123.0574061,N-side of wading pool,Parks,spring to fall,,
DFPB0190,49.27223641,-123.1094286,NE side of the park,Parks,,,
DFPB0121,49.2710507,-123.110206,,Parks,,,
DFPB0122,49.2816629,-123.104505,,Parks,,,
DFPB0124,49.23742,-123.105621,37th and Ontario,Parks,spring to fall,,Queen Elizabeth Park - drinking fountain 1 - 2006.JPG
DFPB0125,49.242275,-123.113543,At Conservatory,Parks,spring to fall,,Queen Elizabeth Park (Ontario Greenway) - drinking fountain 2 - 2006.JPG
DFPB0123,49.239167,-123.111542,Pitch and Putt Course,Parks,year-round,,
DFPB0126,49.24462,-123.148828,W-side of fieldhouse,Parks,spring to fall,,
DFPB0127,49.25211,-123.042086,adjacent to wading pool,Parks,spring to fall,,Renfrew Park - drinking fountain - 2007.JPG
DFPB0188,49.24258273,-123.1048072,West side of the park,Parks,,,
DFPB0128,49.205755,-123.051817,E-side of washrooms,Parks,spring to fall,,
DFPB0129,49.205739,-123.050981,w-side of tennis courts,Parks,spring to fall,,
DFPB0130,49.257792,-123.091912,N-side of wading pool,Parks,spring to fall,,
DFPB0131,49.216947,-123.082635,near shelter,Parks,spring to fall,,
DFPB0133,49.216811,-123.082434,in front of wading pool,Parks,spring to fall,,
DFPB0135,49.27112,-123.033079,E-side of playground,Parks,spring to fall,,
DFPB0136,49.270148,-123.030627,E-side of Field house,Parks,spring to fall,,Rupert Park - drinking fountain 1 - 2007.JPG
DFPB0134,49.273071,-123.030636,S-side of golf entrance booth,Parks,spring to fall,,Rupert Park - drinking fountain 2 - 2007.JPG
DFPB0137,49.27099,-123.146205,S end plaza,Parks,spring to fall,,
DFPB0189,49.2720769,-123.1057538,Seawall - in front of Creekside Community Recreation Centre,Parks,,,
